cell_line_name,stripped_cell_line_name,DepMap_ID
RPMI-7951,RPMI7951,ACH-000348
HCC1500,HCC1500,ACH-000349
COLO-678,COLO678,ACH-000350
MKN1,MKN1,ACH-000351
HCC1428,HCC1428,ACH-000352
TE-15,TE15,ACH-000353
Capan-1,CAPAN1,ACH-000354
NCI-H82,NCIH82,ACH-000355
MKN-45,MKN45,ACH-000356
JeKo-1,JEKO1,ACH-000357
NCI-H69,NCIH69,ACH-000358
MG-63,MG63,ACH-000359
NCI-H508,NCIH508,ACH-000360
SK-HEP-1,SKHEP1,ACH-000361
MOLM-13,MOLM13,ACH-000362
SK-MM-2,SKMM2,ACH-000363
U-2 OS,U2OS,ACH-000364
SU-DHL-4,SUDHL4,ACH-000365
SK-N-DZ,SKNDZ,ACH-000366
SNU-1105,SNU1105,ACH-000368
MOLM-16,MOLM16,ACH-000369
SNU-626,SNU626,ACH-000370
RL,RL,ACH-000371
P12-ICHIKAWA,P12ICHIKAWA,ACH-000372
SKM-1,SKM1,ACH-000373
HCC1143,HCC1143,ACH-000374
G-402,G402,ACH-000375
SNU-478,SNU478,ACH-000377
NCI-H647,NCIH647,ACH-000378
NCI-H1781,NCIH1781,ACH-000379
KMS-12-BM,KMS12BM,ACH-000380
T84,T84,ACH-000381
COR-L24,CORL24,ACH-000382
OE33,OE33,ACH-000383
SW 780,SW780,ACH-000384
SK-RC-20,SKRC20,ACH-000385
KG-1,KG1,ACH-000386
TF-1,TF1,ACH-000387
NU-DHL-1,NUDHL1,ACH-000388
H4,H4,ACH-000389
LUDLU-1,LUDLU1,ACH-000390
MHH-ES-1,MHHES1,ACH-000391
Calu-3,CALU3,ACH-000392
HLF,HLF,ACH-000393
NCI-H2081,NCIH2081,ACH-000394
NCI-H520,NCIH520,ACH-000395
J82,J82,ACH-000396
TEN,TEN,ACH-000397
RI-1,RI1,ACH-000398
NCI-H2196,NCIH2196,ACH-000399
SK-CO-1,SKCO1,ACH-000400
COLO-800,COLO800,ACH-000401
BL-70,BL70,ACH-000402
NCI-H747,NCIH747,ACH-000403
K029AX,K029AX,ACH-000404
MEC-1,MEC1,ACH-000405
U-937,U937,ACH-000406
SNU-685,SNU685,ACH-000407
TE-5,TE5,ACH-000408
OVSAHO,OVSAHO,ACH-000409
Saos-2,SAOS2,ACH-000410
769-P,769P,ACH-000411
SNU-1197,SNU1197,ACH-000412
NA,HS739T,ACH-000413
NCI-H1944,NCIH1944,ACH-000414
BICR 6,BICR6,ACH-000415
NCI-H838,NCIH838,ACH-000416
Panc 08.13,PANC0813,ACH-000417
SW 1353,SW1353,ACH-000418
KMS-28BM,KMS28BM,ACH-000419
SNU-449,SNU449,ACH-000420
SW837,SW837,ACH-000421
SNU-475,SNU475,ACH-000422
SK-MEL-3,SKMEL3,ACH-000423
TC-71,TC71,ACH-000424
KMS-20,KMS20,ACH-000426
NCI-N87,NCIN87,ACH-000427
A-704,A704,ACH-000429
TYK-nu,TYKNU,ACH-000430
NCI-H1694,NCIH1694,ACH-000431
BV-173,BV173,ACH-000432
Caki-1,CAKI1,ACH-000433
NCI-H1915,NCIH1915,ACH-000434
EFE-184,EFE184,ACH-000435
OCI-My7,OCIMY7,ACH-000436
SW 1088,SW1088,ACH-000437
NA,LU65,ACH-000438
ME-1,ME1,ACH-000439
CA46,CA46,ACH-000440
SH-4,SH4,ACH-000441
RERF-LC-Sq1,RERFLCSQ1,ACH-000442
OVKATE,OVKATE,ACH-000443
LU99,LU99,ACH-000444
KNS-60,KNS60,ACH-000445
KP-N-SI9s,KPNSI9S,ACH-000446
