drug_name,cid,origin
UNC10225208A,11057468,LINCS
UNC10225209A,6538884,LINCS
UNC10225210A,44525968,LINCS
UNC10225211A,86346663,LINCS
UNC10225212A,6539525,LINCS
UNC10225213A,44269265,LINCS
UNC10225214A,46215644,LINCS
UNC10225215A,44532102,LINCS
UNC10225216A,6539509,LINCS
UNC10225217A,25222706,LINCS
UNC10225218A,44525929,LINCS
UNC10225220A,44532450,LINCS
UNC10225222A,44526892,LINCS
UNC10225223A,17755746,LINCS
UNC10225224A,6539394,LINCS
UNC10225225A,57400062,LINCS
UNC10225226A,11682470,LINCS
UNC10225228A,44526075,LINCS
UNC10225229A,44479934,LINCS
UNC10225230A,11682680,LINCS
UNC10225231A,57403576,LINCS
UNC10225232A,44527603,LINCS
UNC10225233A,44532198,LINCS
UNC10225234A,49862093,LINCS
UNC10225235A,44525933,LINCS
UNC10225236A,10289896,LINCS
UNC10225238A,44527400,LINCS
UNC10225239A,45271247,LINCS
UNC10225240A,44525925,LINCS
UNC10225241A,9925372,LINCS
UNC10225242A,6539523,LINCS
UNC10225243A,11594774,LINCS
UNC10225244A,6539497,LINCS
UNC10225245A,44526894,LINCS
UNC10225247A,10286382,LINCS
UNC10225248A,9925594,LINCS
UNC10225249A,21027446,LINCS
UNC10225250A,9914412,LINCS
UNC10225251A,10274521,LINCS
UNC10225252A,6539480,LINCS
UNC10225253A,44525927,LINCS
UNC10225254A,53469453,LINCS
UNC10225255A,6539516,LINCS
UNC10225257A,44528328,LINCS
UNC10225258A,44328896,LINCS
UNC10225259A,6539578,LINCS
UNC10225260A,25263084,LINCS
UNC10225261A,44523335,LINCS
UNC10225262A,49862643,LINCS
UNC10225263A,44526069,LINCS
UNC10225264A,6539565,LINCS
UNC10225267A,6539486,LINCS
UNC10225268A,44532669,LINCS
UNC10225269A,44528306,LINCS
UNC10225270A,44578252,LINCS
UNC10225271A,44528496,LINCS
UNC10225273A,44532639,LINCS
UNC10225274A,9929101,LINCS
UNC10225275A,6539472,LINCS
UNC10225278A,44525939,LINCS
UNC10225279B,44532551,LINCS
UNC10225282A,44525959,LINCS
UNC10225285A,25093464,LINCS
UNC10225286A,6539506,LINCS
UNC10225287A,44529229,LINCS
UNC10225288A,6539461,LINCS
UNC10225289A,447966,LINCS
UNC10225290A,44532445,LINCS
UNC10225291A,44433573,LINCS
UNC10225292A,6539602,LINCS
UNC10225293A,6539513,LINCS
UNC10225294A,1489204,LINCS
UNC10225297A,53467178,LINCS
UNC10225299A,6539473,LINCS
UNC10225300A,6539605,LINCS
UNC10225301A,11370662,LINCS
UNC10225302A,44305812,LINCS
UNC10225303A,6539464,LINCS
UNC10225304A,6539541,LINCS
UNC10225305A,9923028,LINCS
UNC10225306A,44525960,LINCS
UNC10225308A,44525485,LINCS
UNC10225309A,11231979,LINCS
UNC10225311A,44525970,LINCS
UNC10225312A,6539570,LINCS
UNC10225313A,44525937,LINCS
UNC10225314A,44529831,LINCS
UNC10225317A,6539610,LINCS
UNC10225318A,44529101,LINCS
UNC10225319A,11524582,LINCS
UNC10225320A,10595057,LINCS
UNC10225322A,44532297,LINCS
UNC10225323A,51356854,LINCS
UNC10225325A,44528946,LINCS
UNC10225326A,6539587,LINCS
UNC10225327A,10267580,LINCS
UNC10225329A,44525928,LINCS
UNC10225330A,44525946,LINCS
UNC10225331A,51354035,LINCS
UNC10225332A,57401867,LINCS
UNC10225334A,469038,LINCS
UNC10225334A,469038,LINCS
UNC10225334B,469038,LINCS
UNC10225334B,469038,LINCS
UNC10225335A,44525973,LINCS
UNC10225336A,44527001,LINCS
UNC10225337A,22477600,LINCS
UNC10225338A,6539496,LINCS
UNC10225339A,11373846,LINCS
UNC10225340A,44306199,LINCS
UNC10225342A,44529112,LINCS
UNC10225343A,57396627,LINCS
UNC10225344A,46214650,LINCS
UNC10225345A,44532202,LINCS
UNC10225346A,6539504,LINCS
UNC10225347A,44525944,LINCS
UNC10225348A,49862644,LINCS
UNC10225349A,44526800,LINCS
UNC10225350A,6539586,LINCS
UNC10225351A,49798353,LINCS
UNC10225352A,11712734,LINCS
UNC10225353A,2409198,LINCS
UNC10225354A,156422,LINCS
UNC10225355A,57398391,LINCS
UNC10225357A,44336137,LINCS
UNC10225358A,6539428,LINCS
UNC10225359A,44526072,LINCS
UNC10225360A,5329481,LINCS
UNC10225361A,44532978,LINCS
UNC10225362A,253268,LINCS
UNC10225363A,44525971,LINCS
UNC10225364A,44532331,LINCS
UNC10225367A,44305551,LINCS
UNC10225369A,53469824,LINCS
UNC10225370A,44305879,LINCS
UNC10225372A,25190914,LINCS
UNC10225373A,6539481,LINCS
UNC10225374A,51356853,LINCS
UNC10225375A,44525938,LINCS
UNC10225376A,10186009,LINCS
UNC10225377A,15872399,LINCS
UNC10225378A,67718922,LINCS
UNC10225379A,44532997,LINCS
UNC10225381A,51356289,LINCS
UNC10225382A,11793277,LINCS
UNC10225384A,6539579,LINCS
UNC10225386A,10028480,LINCS
UNC10225387B,44532118,LINCS
UNC10225388A,44526074,LINCS
UNC10225389A,44305647,LINCS
UNC10225390A,44532212,LINCS
UNC10225391A,44525947,LINCS
UNC10225392A,6539569,LINCS
UNC10225393A,25108028,LINCS
UNC10225396A,44397192,LINCS
UNC10225397A,44525950,LINCS
UNC10225398A,44526078,LINCS
UNC10225399A,44532649,LINCS
UNC10225400A,44526685,LINCS
UNC10225401A,6539492,LINCS
UNC10225402A,44532773,LINCS
UNC10225403A,134158101,LINCS
UNC10225404A,21078798,LINCS
UNC10225405A,46215814,LINCS
UNC10225406A,6539524,LINCS
UNC10225407A,44397011,LINCS
UNC10225410A,44305594,LINCS
UNC10225411A,6539529,LINCS
UNC10225413A,12081456,LINCS
UNC10225414A,10310395,LINCS
UNC10225415A,57345685,LINCS
UNC10225416A,49862783,LINCS
UNC10225417A,70685442,LINCS
UNC10225417A,70685442,LINCS
UNC10225418A,667570,LINCS
UNC10225419A,6539609,LINCS
UNC10225421A,10158539,LINCS
UNC10225422A,44532152,LINCS
UNC10225424A,44525943,LINCS
UNC10225425A,10621826,LINCS
UNC10225427A,44591552,LINCS
UNC10225428A,44532480,LINCS
UNC10225429A,11197671,LINCS
UNC10225431A,838889,LINCS
UNC10225432A,135925145,LINCS
UNC10225433A,44529114,LINCS
UNC10225435A,70691776,LINCS
UNC10225437A,9945696,LINCS
UNC10225438A,44532827,LINCS
UNC10225439A,57396625,LINCS
UNC10225440A,44529067,LINCS
UNC10225441A,44532433,LINCS
UNC10225443A,15838857,LINCS
UNC10225444A,44536188,LINCS
UNC10225445A,44526077,LINCS
UNC10225448A,11558948,LINCS
UNC10225449A,11246488,LINCS
UNC10225450A,25263100,LINCS
UNC10225451A,44528314,LINCS
UNC10225452A,23648887,LINCS
UNC10225453A,10151417,LINCS
UNC10225454A,44305908,LINCS
UNC10225455A,6539588,LINCS
UNC10225456A,6539470,LINCS
UNC10225457A,44526922,LINCS
UNC10225458A,44532712,LINCS
UNC10225459A,5311382,LINCS
UNC10225462A,23648920,LINCS
UNC10225464A,6539463,LINCS
UNC10225467A,44532314,LINCS
UNC10225468A,6539528,LINCS
UNC10225473A,11633551,LINCS
UNC10225474A,44397230,LINCS
UNC10225475A,10135552,LINCS
UNC10225477A,45271244,LINCS
UNC10225478A,66561167,LINCS
UNC10225479A,44532979,LINCS
UNC10225480A,45271243,LINCS
UNC10225481A,56683489,LINCS
UNC10225483A,44523342,LINCS
UNC10225484A,44532531,LINCS
UNC10225486A,129723,LINCS
UNC10225488A,67636397,LINCS
