LINCS_name,cid
AKI00000071a,NA
AKI00000072a,NA
AKI00000073a,NA
AKI00000074a,NA
BAY-309,155544007
BAY-827,155543618
ERKi,145925680
ERKi-NC,155557179
GSK1901320A,NA
GSK2141795,51042438
GSK2141795,75605138
ML-281,53377448
MRL-SYKi-NC,155545891
SC-1-151,NA
SC-1-181,NA
SC-1-72A,NA
SM25,NA
T3,5920
TP-003,10001434
TP-008,145925651
TPn-003,NA
UNC-CA-380,NA
UNC-CA-400,NA
UNC-CAF-012,NA
UNC-CAF-038,NA
UNC-NK-255,NA
UNC-NK-260,NA
UNC-NK-261,NA
UNC-NK-280,NA
UNC-NK-281,NA
UNC-NK-283,NA
UNC-NK-302,NA
UNC-NK-304,NA
UNC-NK-307,NA
UNC-YL-294,NA
UNC-YL-295,NA
UNC-YL-336,NA
