drug_name,cid,origin,smiles
TPKI-110,10165183,LINCS,CC1=CC(=CC=C1)C2=C(SC(=N2)C3=CC=C(C=C3)S(=O)(=O)C)C4=CC(=NC=C4)NCCC5=CC=CC=C5
TPKI-111,59507062,LINCS,CC1=C(C=C(C=C1)NC(=O)C2=CC=CC(=C2)CCC#N)NC3=NC=C4C(=N3)SC(=N4)NC(=O)C
TPKI-112,59507002,LINCS,CC1=C(C=C(C=C1)NC(=O)C2=CC=CC(=C2)CC(C)(C)C#N)NC3=NC=C4C(=N3)SC(=N4)NC(=O)C
TPKI-113,59506918,LINCS,CC1=C(C=C(C=C1)NC(=O)C2=C(C(=CC=C2)C3(CC3)C#N)Cl)NC4=NC=C5C(=N4)SC(=N5)NC(=O)C
TPKI-114,25206346,LINCS,CC(C)(C#N)OC1=CC=CC(=C1Cl)C(=O)NC2=C(C=CC(=C2)N(C)C3=NC4=C(C=C3)N=C(S4)NC(=O)C5CC5)F
TPKI-16,24968572,LINCS,CN1C2=C(C(=C(C1=O)F)NC3=C(C=C(C=C3)I)F)C(=O)N(C=N2)OC[C@@H](CO)O
TPKI-24,25015677,LINCS,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC
TPKI-25,25252909,LINCS,CC[C@]1(CN(C2=NC(=NC=C2N(C1=O)C)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC)C5CCCC5)F
TPKI-26,25252911,LINCS,CC[C@@]1(CN(C2=NC(=NC=C2N(C1=O)C)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC)C5CCCC5)F
TPKI-27,57970023,LINCS,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C[C@@H](C(=O)N4C)CC=C)C5CCCC5)OC
TPKI-28,57955668,LINCS,CN1CCC(CC1)NC(=O)C2=CC(=C(C(=C2)F)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC
TPKI-29,25253525,LINCS,CN1CCC(CC1)NC(=O)C2=CC=C(C=C2)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5
TPKI-30,57955660,LINCS,CN1CCC(CC1)NC(=O)C2=C(C=C(C=C2)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC
TPKI-31,57955606,LINCS,CC1=C(C=CC(=C1)NC2=NC=C3C(=N2)N(CC(C(=O)N3C)(F)F)C4CCCC4)C(=O)NC5CCN(CC5)C
TPKI-32,2814562,LINCS,C1=CC=C2C(=C1)C(=C(N=N2)C(=O)N)N
TPKI-33,122180346,LINCS,CN1C=C(C=N1)C2=CC=CC3=C(C(=NN=C32)C(=O)N)N
TPKI-34,71765510,LINCS,CC1=CC2=C(C=C1C3=CC=CC4=C(C(=NN=C43)C(=O)N)N)NN=C2
TPKI-35,57505462,LINCS,CC1=CC(=NN1C2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)OC4=NN5C=C(N=C5C=C4)NC(=O)C6CC6
TPKI-36,70988670,LINCS,C1CC1C(=O)NC2=CN3C(=N2)C=CC(=N3)OC4=C(C=C(C=C4)NC(=O)C5=CC=CN(C5=O)C6=CC=CC=C6)F
TPKI-37,44595039,LINCS,CC1=CC=C(C(=O)N1C2=CC=CC=C2)C(=O)NC3=CC(=C(C=C3)OC4=CN5C=C(N=C5C=C4)NC(=O)C6CC6)F
TPKI-38,57505524,LINCS,C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)OC3=NN4C=CN=C4C=C3
TPKI-39,57505525,LINCS,C1=CC=C(C=C1)NC(=O)NC2=CC(=CC=C2)OC3=NN4C=CN=C4C=C3
TPKI-40,57505526,LINCS,C1=CC(=CC(=C1)NC(=O)NC2=CC(=CC=C2)OC3=NN4C=CN=C4C=C3)C(F)(F)F
TPKI-41,57441068,LINCS,C1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)OC3=NN4C=CN=C4C=C3
TPKI-42,57505784,LINCS,C1=CC(=CC(=C1)OC2=NN3C=CN=C3C=C2)C(=O)NC4=CC=CC(=C4)C(F)(F)F
TPKI-43,15949613,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC(=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F)F
TPKI-44,57386062,LINCS,CC(=O)NC1=CN2C(=N1)C=CC(=N2)OC3=CC=CC(=C3)NC(=O)C4=CC(=CC=C4)C(F)(F)F
TPKI-45,57386319,LINCS,C1CC1C(=O)NC2=CN3C(=N2)C=CC(=N3)OC4=CC=CC(=C4)NC(=O)C5=CC=CC=C5C(F)(F)F
TPKI-46,57386570,LINCS,COC1=CC=CC(=C1)C(=O)NC2=CC(=CC=C2)OC3=NN4C=C(N=C4C=C3)NC(=O)C5CC5
TPKI-47,57387590,LINCS,C1CC1C(=O)NC2=NC3=C(S2)N=C(C=C3)OC4=CC=CC(=C4)NC(=O)C5=CC(=CC=C5)C6(CC6)C#N
TPKI-48,71568837,LINCS,CCC1=CC=C(C=C1)C2=CC3=C(C=C2)N(S(=O)(=O)C4=C3NN=C4)C
TPKI-49,71567007,LINCS,CN1C2=C(C=C(C=C2)C3=CC=C(C=C3)C(=O)N)C4=C(S1(=O)=O)C=NN4
TPKI-50,71567008,LINCS,CN1C2=C(C=C(C=C2)C3=CC=C(C=C3)C(=O)NCCO)C4=C(S1(=O)=O)C=NN4
TPKI-51,71567006,LINCS,CCC1=CC=C(C=C1)C2=CC3=C(C=C2)N(S(=O)(=O)C4=C3N(N=C4)C)C
TPKI-52,71567148,LINCS,CCC1=CC=C(C=C1)C2=CC3=C(C=C2)N(S(=O)(=O)C4=CN(N=C34)C)C
TPKI-53,71567144,LINCS,CN1C2=C(C=C(C=C2)CNC3=CC=C(C=C3)F)C4=C(S1(=O)=O)C=NN4C
TPKI-54,71567146,LINCS,CN1C2=C(C=C(C=C2)NCC3=CC=C(C=C3)F)C4=C(S1(=O)=O)C=NN4C
TPKI-55,59175651,LINCS,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)Cl
TPKI-56,59175418,LINCS,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)CNC
TPKI-57,59175319,LINCS,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)C4=CC=CC=C4
TPKI-58,59175292,LINCS,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)C4=CN=CC=C4
TPKI-59,24944925,LINCS,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)N4C=CN=C4
TPKI-60,56851433,LINCS,C1=CC(=CC=C1C#N)OC2=C(C=C(C=C2)NC3=NC=NC4=C3NC=C4)Cl
TPKI-61,56851594,LINCS,C1=CC(=CC(=C1)F)COC2=C(C=C(C=C2)NC3=NC=NC4=C3NC=C4)Cl
TPKI-62,56849555,LINCS,C1=CC=NC(=C1)COC2=C(C=C(C=C2)NC3=NC=NC4=C3NC=C4)Cl
TPKI-63,56849556,LINCS,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3NC=C4)C
TPKI-64,56849558,LINCS,CN1C=CC2=C1C(=NC=N2)NC3=CC(=C(C=C3)OC4=CC(=CC=C4)Cl)Cl
TPKI-65,56849703,LINCS,C1=CC(=CC(=C1)Cl)OC2=C(C=C(C=C2)NC3=NC=NC4=C3N(C=C4)CCOCCO)Cl
TPKI-66,56849850,LINCS,C1=CC(=CC(=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3N(C=C4)CCNC(=O)CCO)Cl)C(F)(F)F
TPKI-67,52941625,LINCS,CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)OC3=NC=NC4=C3N(C=C4)C
TPKI-68,15949611,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC(=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F)Cl
TPKI-69,52950146,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4
TPKI-70,52942278,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
TPKI-71,52947605,LINCS,CCCNC(=O)NC1=CC=C(C=C1)OC2=NC=NC3=C2N(C=C3)C
TPKI-72,52946084,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC=C(C=C3)NC4=NC5=CC=CC=C5N4
TPKI-73,52944922,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC(=C(C=C3)NC(=O)NC4=CN=CC=C4)Cl
TPKI-74,52943750,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC(=C(C=C3)NC(=O)NC4=CC=NC=C4)Cl
TPKI-75,52943829,LINCS,CC(C)(C)N1C=C(C=N1)NC(=O)NC2=C(C=C(C=C2)OC3=NC=NC4=C3N(C=C4)C)Cl
TPKI-76,52942791,LINCS,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=NC=NC4=C3N(C=C4)C)Cl
TPKI-77,52946218,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC(=C(C=C3)NC(=O)NC4=CN=CC(=C4)C(F)(F)F)Cl
TPKI-78,52948666,LINCS,CN1C=CC2=C1C(=NC=N2)OC3=CC(=C(C=C3)NC(=O)NC4=CC(=NC=C4)C(F)(F)F)Cl
TPKI-79,68663586,LINCS,CC1=NN=C(O1)C2=CC3=C(C=C2)OC=C3C4=CC=C(C=C4)OC
