drug,cid
UNC10225360A,5329481
UNC10225361A,44532978
UNC10225362A,253268
UNC10225363A,44525971
UNC10225364A,44532331
UNC10225367A,44305551
UNC10225369A,53469824
UNC10225370A,44305879
UNC10225372A,25190914
UNC10225373A,6539481
UNC10225374A,51356853
UNC10225375A,44525938
UNC10225376A,10186009
UNC10225377A,15872399
UNC10225378A,67718922
UNC10225379A,44532997
UNC10225381A,51356289
UNC10225382A,11793277
UNC10225384A,6539579
UNC10225386A,10028480
UNC10225387B,44532118
UNC10225388A,44526074
UNC10225389A,44305647
UNC10225390A,44532212
UNC10225391A,44525947
UNC10225392A,6539569
UNC10225393A,25108028
UNC10225396A,44397192
UNC10225397A,44525950
UNC10225398A,44526078
UNC10225399A,44532649
UNC10225400A,44526685
UNC10225401A,6539492
UNC10225402A,44532773
UNC10225403A,134158101
UNC10225404A,21078798
UNC10225405A,46215814
UNC10225406A,6539524
UNC10225407A,44397011
UNC10225410A,44305594
UNC10225411A,6539529
UNC10225413A,12081456
UNC10225414A,10310395
UNC10225415A,57345685
UNC10225416A,49862783
UNC10225417A,70685442
UNC10225417A,70685442
UNC10225418A,667570
UNC10225419A,6539609
UNC10225421A,10158539
UNC10225422A,44532152
UNC10225424A,44525943
UNC10225425A,10621826
UNC10225427A,44591552
UNC10225428A,44532480
UNC10225429A,11197671
UNC10225431A,838889
UNC10225432A,135925145
UNC10225433A,44529114
UNC10225435A,70691776
UNC10225437A,9945696
UNC10225438A,44532827
UNC10225439A,57396625
UNC10225440A,44529067
UNC10225441A,44532433
UNC10225443A,15838857
UNC10225444A,44536188
UNC10225445A,44526077
UNC10225448A,11558948
UNC10225449A,11246488
UNC10225450A,25263100
UNC10225451A,44528314
UNC10225452A,23648887
UNC10225453A,10151417
UNC10225454A,44305908
UNC10225455A,6539588
UNC10225456A,6539470
UNC10225457A,44526922
UNC10225458A,44532712
UNC10225459A,5311382
UNC10225462A,23648920
UNC10225464A,6539463
UNC10225467A,44532314
UNC10225468A,6539528
UNC10225473A,11633551
UNC10225474A,44397230
UNC10225475A,10135552
UNC10225477A,45271244
UNC10225478A,66561167
UNC10225479A,44532979
UNC10225480A,45271243
UNC10225481A,56683489
UNC10225483A,44523342
UNC10225484A,44532531
UNC10225486A,129723
UNC10225488A,67636397
UNC10225489A,51357954
UNC10225490A,66561013
UNC10225491A,25263085
UNC10225492A,44525969
UNC10225494A,53467617
UNC10225496A,25263102
UNC10225497A,22609863
UNC10225498A,44526758
UNC10225499A,11716589
UNC10225500A,53469634
UNC10225501A,11220119
UNC10225502A,1491157
UNC10225504A,44530989
UNC10243858A,3134
UNC10243859A,51357696
UNC10243861A,57391365
UNC10243862A,221158
UNC10243863A,309461
UNC10243881A,70685442
UNC10243881A,70685442
UNC10244034A,11959683
AKI00000020a,68195404
AKI00000062a,49830468
BAY-309,155544007
BAY-827,155543618
ERKi,145925680
ERKi-NC,155557179
GSK2141795,51042438
GSK2141795,75605138
ML-281,53377448
MRL-SYKi-NC,155545891
T3,5920
TP-003,10001434
TP-008,145925651
Abemaciclib,46220502
AC-480,10437018
ACTB-1003,23653175
AEE-788,10297043
AEW-541,11476171
Afatinib,10184653
Alectinib,49806720
Alisertib,24771867
Alvocidib,5287969
AMG-208,24864821
AMG-900,24856041
Amuvatinib,11282283
Apatinib,11315474
Apatinib,45139106
Apatinib,131750276
Apitolisib,25254071
ARRY-380,42598643
ASP-3026,25134326
AT-13148,24905401
AT-7519,11338033
AT-9283,135398495
AV-412,9806229
AV-412,11700696
AV-412,156267898
Axitinib,6450551
AXL-1717,72435
AZD-1208,58423153
AZD-1480,16659841
AZD-2014,25262792
AZD-4547,51039095
AZD-5363,25227436
AZD-5438,16747683
AZD-6482,44137675
AZD-7762,11152667
AZD-8055,25262965
AZD-8186,52913813
AZD-8330,16666708
Bafetinib,11387605
Barasertib,11497983
Barasertib_HQPA,16007391
Baricitinib,44205240
BGT-226,11978790
BI-2536,11364421
BI-847325,135567102
Binimetinib,10288191
BMS-387032,3025986
BMS-690514,11349170
BMS-754807,24785538
BMS-777607,24794418
BMS-911543,50922691
Bosutinib,5328940
Brivanib,11234052
Brivanib_alaninate,11154925
BYL-719,56649450
Cabozantinib,25102847
