BROMOscan Gene Symbol,Common Inhibitor Name,CBIS Compound Name,KD,St.Dev.,n,KD Units,Inhibitor SMILE
BRD9,CBP30-383,BDOIA383,10000,2000,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRDT(1),CBP30-383,BDOIA383,3600,510,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
"BRDT(1,2)",CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRDT(2),CBP30-383,BDOIA383,18000,120,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRPF1,CBP30-383,BDOIA383,11000,1100,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRPF3,CBP30-383,BDOIA383,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
CECR2,CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
CREBBP,CBP30-383,BDOIA383,59,0.46,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
EP300,CBP30-383,BDOIA383,44,2.8,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
FALZ,CBP30-383,BDOIA383,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
GCN5L2,CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
PBRM1(2),CBP30-383,BDOIA383,44000,6900,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
PBRM1(5),CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
PCAF,CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
SMARCA2,CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
SMARCA2(iso.A),CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
SMARCA4,CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
TAF1(2),CBP30-383,BDOIA383,1600,27,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
TAF1L(2),CBP30-383,BDOIA383,14000,1000,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
TRIM24(Bromo.),CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
"TRIM24(PHD,Bromo.)",CBP30-383,BDOIA383,26000,9400,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
"TRIM33(PHD,Bromo.)",CBP30-383,BDOIA383,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
WDR9(2),CBP30-383,BDOIA383,41000,11000,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
ATAD2A,Bromosporine,Bromosporine,62000,11000,4,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
ATAD2B,Bromosporine,Bromosporine,30000,7100,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BAZ1B,Bromosporine,Bromosporine,38000,10000,4,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BAZ2A,Bromosporine,Bromosporine,3800,1200,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BAZ2B,Bromosporine,Bromosporine,9100,1300,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD1,Bromosporine,Bromosporine,1100,320,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD2(1),Bromosporine,Bromosporine,220,33,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
"BRD2(1,2)",Bromosporine,Bromosporine,66.5,0.71,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
